Fighter1,F1_Height,F1_Weight,F1_Reach,F1_DOB,F1_profile_url,Fighter2,F2_Height,F2_Weight,F2_Reach,F2_DOB,F2_profile_url,F1_result,F2_result,F1_KD,F2_KD,F1_SS_hit,F1_SS_att,F2_SS_hit,F2_SS_att,F1_totalStrikes_hit,F1_totalStrikes_att,F2_totalStrikes_hit,F2_totalStrikes_att,F1_TD_conv,F1_TD_att,F2_TD_conv,F2_TD_att,F1_Sub,F2_Sub,F1_pass,F2_pass,F1_rev,F2_rev,F1_head_hit,F1_head_att,F2_head_hit,F2_head_att,F1_body_conv,F1_body_att,F2_body_conv,F2_body_att,F1_leg_conv,F1_leg_att,F2_leg_conv,F2_leg_att,F1_distance_conv,F1_distance_att,F2_distance_conv,F2_distance_att,F1_clinch_conv,F1_clinch_att,F2_clinch_conv,F2_clinch_att,F1_ground_conv,F1_ground_att,F2_ground_conv,F2_ground_att,Date,Location,Attendance
Mark Madsen,70,170,,1984-09-23 00:00:00,http://www.ufcstats.com/fighter-details/da0995f19b749cfa,Danilo Belluardo,72.0,155.0,74.0,1994-07-21 00:00:00,http://www.ufcstats.com/fighter-details/c3f6db17cea09ca7,W,L,0,0,22,29,0,1,24,31,0,1,1,2,0,0,0,0,1,0,0,0,22,29,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,0.0,0.0,21.0,26.0,0.0,0.0,2019-09-28,"Copenhagen, Denmark",12767
Gunnar Nelson,71,170,72,1988-07-28 00:00:00,http://www.ufcstats.com/fighter-details/fd55393021a8c255,Gilbert Burns,70.0,155.0,71.0,1986-07-20 00:00:00,http://www.ufcstats.com/fighter-details/23024fdfc966410a,L,W,0,0,20,36,30,76,26,45,46,99,0,2,1,3,0,1,0,1,0,0,9,23,8,47,4,5,8,11,7,8,14,18,18,32,19,55,2,3.0,10.0,18.0,0.0,1.0,1.0,3.0,2019-09-28,"Copenhagen, Denmark",12767
Ion Cutelaba,73,205,75,1993-12-14 00:00:00,http://www.ufcstats.com/fighter-details/cd13728ae1151f46,Khalil Rountree Jr.,73.0,205.0,76.0,1990-02-26 00:00:00,http://www.ufcstats.com/fighter-details/749f572d1d3161fb,W,L,0,0,15,26,5,12,16,27,5,12,4,5,0,0,0,0,1,0,0,0,14,25,4,11,1,1,1,1,0,0,0,0,1,5,3,7,1,2.0,2.0,5.0,13.0,19.0,0.0,0.0,2019-09-28,"Copenhagen, Denmark",12767
Michal Oleksiejczuk,72,205,74,1995-02-22 00:00:00,http://www.ufcstats.com/fighter-details/0d65c432720accb9,Ovince Saint Preux,75.0,205.0,80.0,1983-04-08 00:00:00,http://www.ufcstats.com/fighter-details/50db8711c70196cd,L,W,0,0,37,78,14,48,39,80,20,54,0,0,1,2,0,1,0,2,0,0,23,59,5,36,13,18,9,12,1,1,0,0,32,71,11,45,2,2.0,3.0,3.0,3.0,5.0,0.0,0.0,2019-09-28,"Copenhagen, Denmark",12767
Nicolas Dalby,71,170,74,1984-11-16 00:00:00,http://www.ufcstats.com/fighter-details/9d19d9e4aa2662e8,Alex Oliveira,71.0,170.0,76.0,1988-02-21 00:00:00,http://www.ufcstats.com/fighter-details/57b10fca4f9c9a7a,W,L,0,0,31,84,18,47,64,122,31,65,1,4,3,4,0,0,4,1,1,0,19,64,14,40,5,12,0,2,7,8,4,5,9,45,13,36,11,18.0,1.0,3.0,11.0,21.0,4.0,8.0,2019-09-28,"Copenhagen, Denmark",12767
Alen Amedovski,70,185,74,1988-04-06 00:00:00,http://www.ufcstats.com/fighter-details/70fa1c64a2c439ef,John Phillips,71.0,185.0,75.0,1985-06-09 00:00:00,http://www.ufcstats.com/fighter-details/e9ac7bfb65c25497,L,W,0,1,2,11,5,8,2,11,5,8,0,0,0,0,0,0,0,0,0,0,2,11,4,7,0,0,1,1,0,0,0,0,2,11,3,6,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2019-09-28,"Copenhagen, Denmark",12767
Alessio Di Chirico,72,185,74,1989-12-12 00:00:00,http://www.ufcstats.com/fighter-details/77d7295d1b22c694,Makhmud Muradov,74.0,185.0,75.0,1990-02-08 00:00:00,http://www.ufcstats.com/fighter-details/ea7e5bc78d9de658,L,W,0,0,36,113,54,169,37,114,56,171,0,2,0,3,0,0,0,0,0,0,31,100,32,133,0,4,19,32,5,9,3,4,30,104,49,160,6,9.0,5.0,9.0,0.0,0.0,0.0,0.0,2019-09-28,"Copenhagen, Denmark",12767
Siyar Bahadurzada,71,170,73,1984-04-17 00:00:00,http://www.ufcstats.com/fighter-details/aec185309b4843d0,Ismail Naurdiev,70.0,170.0,74.0,1996-08-18 00:00:00,http://www.ufcstats.com/fighter-details/6a96ad1bc34fb113,L,W,0,0,12,96,69,126,14,98,149,218,0,0,3,3,0,0,0,3,0,0,10,89,30,71,2,5,15,24,0,2,24,31,12,95,63,113,0,1.0,0.0,0.0,0.0,0.0,6.0,13.0,2019-09-28,"Copenhagen, Denmark",12767
Brandon Davis,70,135,72,1990-05-08 00:00:00,http://www.ufcstats.com/fighter-details/cc351e408bbb7d43,Giga Chikadze,72.0,145.0,72.0,1988-08-25 00:00:00,http://www.ufcstats.com/fighter-details/9560ff14eb3129f7,L,W,0,0,34,99,59,119,36,103,71,133,3,7,1,2,0,0,4,1,0,1,20,77,44,91,5,9,8,16,9,13,7,12,26,91,43,99,3,3.0,0.0,0.0,5.0,5.0,16.0,20.0,2019-09-28,"Copenhagen, Denmark",12767
Macy Chiasson,71,135,72,1991-07-27 00:00:00,http://www.ufcstats.com/fighter-details/9cdd2da1a9104a0b,Lina Lansberg,67.0,135.0,65.0,1982-03-13 00:00:00,http://www.ufcstats.com/fighter-details/2eeaefbfc7f9fcff,L,W,0,0,26,47,21,39,58,94,49,91,0,4,2,4,0,0,0,3,0,0,4,22,18,36,21,23,2,2,1,2,1,1,4,18,2,8,22,29.0,8.0,15.0,0.0,0.0,11.0,16.0,2019-09-28,"Copenhagen, Denmark",12767
Marc Diakiese,70,155,73,1993-03-16 00:00:00,http://www.ufcstats.com/fighter-details/32c355b04fc57f3a,Lando Vannata,69.0,155.0,71.0,1992-03-14 00:00:00,http://www.ufcstats.com/fighter-details/f9b200db02b488d9,W,L,0,0,40,99,25,70,45,111,51,108,4,7,0,1,0,0,1,0,0,0,16,52,4,36,10,25,8,12,14,22,13,22,31,84,24,66,2,3.0,1.0,4.0,7.0,12.0,0.0,0.0,2019-09-28,"Copenhagen, Denmark",12767
